LNAME,FNAME,ID
Allie,Gair,allig101
Allietta,Bob,allib101
Allison,Andy,allia102
Allison,Art,allia101
Allison,Bill,allib102
Allison,Bob,allib103
Allison,Dana,allid001
Allison,Doug,allid101
Allison,Mack,allim102
Allison,Milo,allim101
Allred,Beau,allrb001
Almada,Mel,almam101
Almanza,Armando,almaa001
Almanzar,Carlos,almac001
Almeida,Rafael,almer101
Almon,Bill,almob001
Almonte,Abraham,almoa001
Almonte,Edwin,almoe002
Almonte,Erick,almoe001
Almonte,Hector,almoh001
Almonte,Miguel,almom001
Almonte,Zoilo,almoz001
Almora,Albert,almoa002
Aloma,Luis,aloml101
Alomar,Roberto,alomr001
Alomar,Sandy,aloms101
Alomar,Sandy,aloms001
Alonso,Yonder,alony001
Alou,Felipe,alouf101
Alou,Jesus,alouj101
Alou,Matty,aloum101
Alou,Moises,aloum001
Alpermann,Whitey,alpew101
Alston,Dave,alstd901
Alston,Dell,alstd101
Alston,Garvin,alstg001
Alston,Tom,alstt101
Alston,Walter,alstw101
Altamirano,Porfi,altap001
Altavilla,Dan,altad001
Alten,Ernie,altee101
Altenburg,Jesse,altej101
Altherr,Aaron,altha001
Altizer,Dave,altid101
Altman,George,altmg101
Altobelli,Joe,altoj101
Altrock,Nick,altrn101
Altuve,Jose,altuj001
Alusik,George,alusg101
Alvarado,Luis,alval101
Alvarez,Abe,alvaa001
Alvarez,Clemente,alvac001
Alvarez,Dariel,alvad002
Alvarez,Dario,alvad001
Alvarez,Gabe,alvag001
Alvarez,Henderson,alvah001
Alvarez,Jose,alvaj001
Alvarez,Jose,alvaj003
Alvarez,Juan,alvaj002
Alvarez,Orlando,alvao102
Alvarez,Ossie,alvao101
Alvarez,Pedro,alvap001
Alvarez,R.J.,alvar001
Alvarez,Rogelio,alvar101
Alvarez,Tavo,alvat001
Alvarez,Tony,alvat002
Alvarez,Victor,alvav001
Alvarez,Wilson,alvaw001
Alvis,Max,alvim101
Alvord,Billy,alvob101
Alyea,Brant,alyeb101
Amalfitano,Joey,amalj101
Amaral,Rich,amarr001
Amarista,Alexi,amara001
Amaro,Ruben,amarr101
Amaro,Ruben,amarr002
Ambler,Wayne,amblw101
Ambres,Chip,ambrc001
Ambriz,Hector,ambrh001
Amelung,Ed,amele001
Ames,Red,amesr101
Ames,Steve,amess001
Amezaga,Alfredo,ameza001
Amole,Doc,amold101
Amor,Vicente,amorv101
Amoros,Sandy,amors101
Ancker,Walter,anckw101
Andersen,Larry,andel001
Anderson,Alf,andea102
Anderson,Allan,andea001
Anderson,Andy,andea101
Anderson,Andy,andea901
Anderson,Bill,robib103
Anderson,Bill,andeb103
Anderson,Bob,andeb102
Anderson,Brady,andeb001
Anderson,Brett,andeb004
Anderson,Brian,andeb002
Anderson,Brian,andeb003
Anderson,Bryan,andeb005
Anderson,Bud,andeb101
Anderson,Chase,andec001
Anderson,Cody,andec002
Anderson,Craig,andec101
Anderson,Dave,anded102
Anderson,Dave,anded001
Anderson,Drew,anded002
Anderson,Dwain,anded101
Anderson,Ferrell,andef102
Anderson,Fred,andef101
Anderson,Garret,andeg001
Anderson,George,andeg102
Anderson,Goat,andeg101
Anderson,Hal,andeh102
Anderson,Harry,andeh101
Anderson,Jason,andej003
Anderson,Jim,andej001
Anderson,Jimmy,andej002
Anderson,John,andej101
Anderson,John,andej102
Anderson,Josh,andej004
Anderson,Kent,andek001
Anderson,Larry,andel101
Anderson,Lars,andel002
Anderson,Marlon,andem003
Anderson,Matt,andem002
Anderson,Mike,andem101
Anderson,Mike,andem001
Anderson,Ollie,andeo901
Anderson,Red,ander102
Anderson,Rick,ander101
Anderson,Rick,ander001
Anderson,Scott,andes001
Anderson,Sparky,andes101
Anderson,Tim,andet001
Anderson,Tyler,andet002
Anderson,Varney,andev101
Anderson,Walter,andew102
Anderson,Wingo,andew101
Andino,Robert,andir001
Andrade,Steve,andrs002
Andre,John,andrj102
Andres,Ernie,andre103
Andress,Bill,andrb901
Andress,Brad,andrb801
Andrew,Kim,andrk101
Andrews,Clayton,andrc001
Andrews,Ed,andre101
Andrews,Elbert,andre102
Andrews,Fred,andrf101
Andrews,Hub,andrh101
Andrews,Ivy,andri101
Andrews,Jeff,andrj801
Andrews,Jim,andrj103
Andrews,John,andrj101
Andrews,Mike,andrm101
Andrews,Nate,andrn101
Andrews,Rob,andrr101
Andrews,Shane,andrs001
Andrews,Stan,andrs101
Andrews,Wally,andrw102
Andriese,Matt,andrm001
Andrus,Bill,andrb101
Andrus,Elvis,andre001
Andrus,Fred,andrf102
Andrus,Wyman,andrw101
Andujar,Joaquin,anduj001
Andujar,Luis,andul001
Angelini,Norm,angen101
Angle,Matt,anglm001
Angley,Tom,anglt101
Ankenman,Pat,ankep101
Ankiel,Rick,ankir001
Anna,Dean,annad001
Annan,Bill,annaw901
Annis,Bill,annib101
Anson,Cap,ansoc101
Anthony,Eric,anthe001
Anthony,Merle,anthm901
Antolick,Joe,antoj102
Antolin,Dustin,antod001
Antonelli,John,antoj101
Antonelli,Johnny,antoj103
Antonelli,Matt,antom001
Antonello,Bill,antob101
Aoki,Nori,aokin001
Aparicio,Luis,aparl101
Apodaca,Bob,apodb101
Aponte,Luis,aponl001
Aponte,Ricardo,aponr801
Appier,Kevin,appik001
Applegate,Fred,applf101
Appleton,Ed,apple101
Appleton,Pete,applp101
Appling,Luke,appll101
Aquino,Greg,aquig001
Aquino,Jayson,aquij001
Aquino,Luis,aquil001
Aragon,Angel,araga101
Aragon,Jack,aragj101
Arata,Mark,aratm901
Araujo,Elvis,araue001
Archdeacon,Maurice,archm101
Archer,Chris,archc001
Archer,Fred,archf101
Archer,Jim,archj101
Archer,Jimmy,archj102
Archie,George,archg101
Arcia,Jose,arcij101
Arcia,Orlando,arcio002
Arcia,Oswaldo,arcio001
Ardell,Dan,arded101
Ardizoia,Rugger,ardir101
Ardner,Joe,ardnj101
Ardoin,Danny,ardod001
Arellanes,Frank,arelf101
Arenado,Nolan,arenn001
Arencibia,J.P.,arenj001
Arft,Hank,arfth101
Arias,Alberto,ariaa002
Arias,Alex,ariaa001
Arias,George,ariag001
Arias,Joaquin,ariaj001
Arias,Rudy,ariar101
Arlett,Buzz,arleb101
Arlich,Don,arlid101
Arlin,Steve,arlis101
Armas,Marcos,armam001
Armas,Tony,armat001
Armas,Tony,armat002
Armbrister,Ed,armbe101
Armbrust,Orville,armbo101
Armbruster,Charlie,armbc101
Armbruster,Harry,armbh101
Armendariz,Ramon,armer901
Armour,Bill,armob801
Armstrong,George,armsg101
Armstrong,Howard,armsh101
Armstrong,Jack,armsj001
Armstrong,Mike,armsm001
Armstrong,Robert,armsr101
Armstrong,Shawn,armss001
Arndt,Harry,arndh101
Arndt,Larry,arndl001
Arnold,Billy,arnob101
Arnold,Chris,arnoc101
Arnold,Frank,arnof901
Arnold,Jamie,arnoj001
Arnold,Scott,arnos001
Arnold,Tony,arnot001
Arnovich,Morrie,arnom101
Arnsberg,Brad,arnsb001
Arntzen,Orie,arnto101
Aro,Jonathan,aro-j001
Arocha,Rene,arocr001
Arredondo,Jose,arrej001
Arrieta,Jake,arrij001
Arrigo,Gerry,arrig101
Arrojo,Rolando,arror001
Arroyo,Bronson,arrob001
Arroyo,Fernando,arrof001
Arroyo,Luis,arrol101
Arroyo,Rudy,arror101
Arruebarrena,Erisbel,arrue001
Arsenault,Pierre,arsep801
Arundel,Harry,arunh101
Arundel,Tug,arunt101
Asadoor,Randy,asadr001
Asbell,Jim,asbej101
Asbjornson,Casper,asbjc101
Ascanio,Jose,ascaj001
Asche,Cody,aschc001
Aschwege,Dave,aschd901
Asencio,Miguel,asenm001
Ash,Ken,ash-k101
Ashburn,Richie,ashbr101
Ashby,Alan,ashba001
Ashby,Andy,ashba002
Asher,Alec,ashea001
Ashford,Emmett,ashfe901
Ashford,Tucker,ashft001
Ashley,Billy,ashlb001
Ashley,Nevin,ashln001
Asmussen,Tom,asmut101
Aspromonte,Bob,asprb101
Aspromonte,Ken,asprk101
Asselstine,Brian,asseb101
Assenmacher,Paul,assep001
Astacio,Ezequiel,astae001
Astacio,Pedro,astap001
Astroth,Joe,astrj101
Asuaje,Carlos,asuac001
Atchison,Scott,atchs001
Atchley,Justin,atchj001
Atherton,Charlie,athec101
Atherton,Keith,athek001
Atilano,Luis,atill001
Atkins,Garrett,atkig001
Atkins,James,atkij101
Atkins,Mitch,atkim001
Atkins,Tommy,atkit101
Atkinson,Al,atkia101
Atkinson,Bill,atkib101
Atkinson,Ed,atkie101
Atkinson,Harry,adkih101
Atkinson,Lefty,atkil101
Attreau,Dick,attrd101
Atwell,Toby,atwet101
Atwood,Bill,atwob101
Atz,John,atz-j101
Aubrey,Chub,aubrc101
Aubrey,Michael,aubrm001
Aucoin,Derek,aucod001
Aude,Rich,auder001
Auerbach,Rick,auerr101
Auferio,Tony,aufet801
Augenstein,Bryan,augeb001
August,Don,augud001
Augustine,Dave,augud101
Augustine,Jerry,auguj001
Auker,Elden,aukee101
Aulds,Tex,auldt101
Ault,Doug,aultd101
Aumont,Phillippe,aumop001
Aurilia,Rich,aurir001
Ausanio,Joe,ausaj001
Ausmus,Brad,ausmb001
Aust,Dennis,austd101
Austin,Ed,auste901
Austin,Henry,austh101
Austin,Jeff,austj002
Austin,Jim,austj001
Austin,Jimmy,austj101
Austin,Rick,austr101
Austin,Tyler,austt001
Autry,Al,autra101
Autry,Chick,autrc101
Autry,Chick,autrc102
Avants,Nick,avann901
Aven,Bruce,avenb001
Averill,Earl,avere101
Averill,Earl,avere102
Avery,Ham,averh901
Avery,Steve,avers001
Avery,Xavier,averx001
Avila,Alex,avila001
Avila,Bobby,avilb101
Avilan,Luis,avill001
Aviles,Mike,avilm001
Aviles,Ramon,avilr101
Avrea,Jay,avrej101
Axelrod,Dylan,axeld001
Axford,John,axfoj001
Ayala,Benny,ayalb001
Ayala,Bobby,ayalb002
Ayala,Luis,ayall001
Aybar,Erick,aybae001
Aybar,Manny,aybam001
Aybar,Willy,aybaw001
Aydelott,Jake,aydej101
Ayers,A.D.,ayeru901
Ayers,Bill,ayerb101
Ayers,Doc,ayerd101
Aylward,Dick,aylwd101
Ayrault,Bob,ayrab001
Ayrault,Joe,ayraj001
Azcue,Joe,azcuj101
Azocar,Oscar,azoco001
Babb,Charlie,babbc101
Babcock,Bob,babcb101
Babe,Loren,babel101
Babich,Johnny,babij101
Babington,Charlie,babic101
Babitt,Shooty,babis101
Backe,Brandon,backb001
Backman,Les,backl101
Backman,Wally,backw001
Bacon,Eddie,bacoe101
Bacsik,Michael,bacsm001
Bacsik,Mike,bacsm101
Baczewski,Fred,baczf101
Badenhop,Burke,badeb001
Bader,Art,badea101
Bader,King,badek101
Badgro,Red,badgr101
Baecht,Ed,baece101
Baek,Cha-Seung,baekc001
Baerga,Carlos,baerc001
Baez,Benito,baezb001
Baez,Danys,baezd001
Baez,Javier,baezj001
Baez,Jose,baezj101
Baez,Kevin,baezk001
Baez,Pedro,baezp001
Bagby,Jim,bagbj101
Bagby,Jim,bagbj102
Bagley,Ed,begle101
Bagley,Gene,beglg101
Bagwell,Bill,bagwb101
Bagwell,Jeff,bagwj001
Bahnsen,Stan,bahns101
Bahr,Ed,bahre101
Bahret,Frank,bahrf101
Baichley,Grover,baicg101
Bailes,Scott,bails001
Bailey,Andrew,baila001
Bailey,Bill,bailb101
Bailey,Bill,bailb102
Bailey,Bob,bailb103
Bailey,Buddy,bailb801
Bailey,Cory,bailc001
Bailey,Ed,baile101
Bailey,Fred,bailf101
Bailey,Gene,bailg101
Bailey,Harvey,bailh102
Bailey,Homer,bailh001
Bailey,Howard,bailh101
Bailey,Jeff,bailj001
Bailey,Jim,bailj101
Bailey,King,bailk101
